id;date;description;amount
1;2019-10-23T01:04:36;deposit;70196
2;2019-10-23T10:42:46;Unbranded Fresh Pants Tools California;43847
3;2019-10-23T06:21:25;Garden Dale Wallis and Futuna;28654
4;2019-10-23T00:06:05;TCP Assimilated;3883
5;2019-10-23T00:29:36;back-end;12706
6;2019-10-23T12:23:45;synthesizing composite;96525
7;2019-10-23T05:17:10;Refined Intelligent Granite Shirt;54063
8;2019-10-23T03:26:50;Metal Frozen;96953
9;2019-10-23T07:50:40;alliance redundant global;43897
10;2019-10-23T02:22:43;Ameliorated;18433
